Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2022-12-08 20:21:52,2022-12-09 10:12:46,Service Navigo,-4.10,0.00,EUR,COMPLETED,951.11
CARD_PAYMENT,Current,2022-12-08 20:40:27,2022-12-09 10:12:46,Service Navigo,-3.80,0.00,EUR,COMPLETED,947.31
CARD_PAYMENT,Current,2022-12-09 14:24:05,2022-12-10 02:37:36,Hotel At Booking.com,-213.49,0.00,EUR,COMPLETED,733.82
CARD_PAYMENT,Current,2022-12-09 20:25:56,2022-12-10 15:53:57,Sncf Internet,-54.20,0.00,EUR,COMPLETED,679.62
TOPUP,Current,2022-12-10 17:52:11,2022-12-10 17:52:17,Google Pay Top-Up by *5577,100.00,0.00,EUR,COMPLETED,779.62
CARD_PAYMENT,Current,2022-12-10 10:21:23,2022-12-11 09:43:57,Saint Sulpice,-4.00,0.00,EUR,COMPLETED,775.62
CARD_PAYMENT,Current,2022-12-10 12:26:28,2022-12-11 09:48:51,Mnhn - Grand Site Jdp,-10.00,0.00,EUR,COMPLETED,765.62
CARD_PAYMENT,Current,2022-12-10 21:12:26,2022-12-11 10:22:33,Service Navigo,-1.90,0.00,EUR,COMPLETED,763.72
CARD_PAYMENT,Current,2022-12-10 13:49:34,2022-12-11 10:29:39,Paris Musees,-7.00,0.00,EUR,COMPLETED,756.72
CARD_PAYMENT,Current,2022-12-10 20:21:06,2022-12-11 11:31:50,Drouant,-163.00,0.00,EUR,COMPLETED,593.72
CARD_PAYMENT,Current,2022-12-10 15:07:38,2022-12-11 11:31:50,Les Inities,-14.00,0.00,EUR,COMPLETED,579.72
CARD_PAYMENT,Current,2022-12-10 08:53:20,2022-12-11 11:33:23,Joseph Iii,-4.20,0.00,EUR,COMPLETED,575.52
CARD_PAYMENT,Current,2022-12-10 10:57:28,2022-12-12 08:55:09,Vaugirard Dis,-0.50,0.00,EUR,COMPLETED,575.02
CARD_PAYMENT,Current,2022-12-10 09:51:41,2022-12-12 08:55:57,Lib.deyrolle,-67.00,0.00,EUR,COMPLETED,508.02
CARD_PAYMENT,Current,2022-12-10 16:35:17,2022-12-12 09:04:26,Gourmet Hauss,-36.00,0.00,EUR,COMPLETED,472.02
CARD_PAYMENT,Current,2022-12-11 08:23:38,2022-12-12 09:25:15,Relay323188sv,-3.30,0.00,EUR,COMPLETED,468.72
CARD_PAYMENT,Current,2022-12-09 20:02:50,2022-12-12 09:37:34,Hotel Le Faubour,-2.26,0.00,EUR,COMPLETED,466.46
CARD_PAYMENT,Current,2022-12-11 08:01:24,2022-12-12 09:51:10,Sarl Golden,-3.80,0.00,EUR,COMPLETED,462.66
CARD_PAYMENT,Current,2022-12-10 16:13:32,2022-12-15 14:46:10,Gl Haussmann,-90.00,0.00,EUR,COMPLETED,372.66
CARD_PAYMENT,Current,2022-12-10 15:48:41,2022-12-15 14:46:38,Gl Haussmann,-65.30,0.00,EUR,COMPLETED,307.36
CARD_PAYMENT,Current,2022-12-14 14:50:29,2022-12-15 16:53:38,Sncf Internet,-147.20,0.00,EUR,COMPLETED,160.16
CARD_PAYMENT,Current,2022-12-14 14:44:52,2022-12-15 16:53:38,Sncf Internet,-57.20,0.00,EUR,COMPLETED,102.96
CARD_PAYMENT,Current,2022-12-14 13:03:15,2022-12-15 16:53:38,Sncf Internet,-77.50,0.00,EUR,COMPLETED,25.46
TOPUP,Current,2022-12-18 13:08:34,2022-12-18 13:08:37,Google Pay Top-Up by *5577,200.00,0.00,EUR,COMPLETED,225.46
CARD_PAYMENT,Current,2022-12-21 05:02:20,2022-12-21 15:22:33,netflix.com,-13.49,0.00,EUR,COMPLETED,211.97
CARD_PAYMENT,Current,2022-12-21 08:01:57,2022-12-22 15:44:59,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,201.98
CARD_PAYMENT,Current,2022-12-09 00:00:00,2022-12-24 08:54:45,Brioche Doree   2961374,-9.70,0.00,EUR,COMPLETED,192.28
TOPUP,Current,2022-12-26 14:15:42,2022-12-26 14:15:45,Google Pay Top-Up by *5577,200.00,0.00,EUR,COMPLETED,392.28
CARD_PAYMENT,Current,2022-12-26 14:17:28,2022-12-27 09:26:02,Burton 116,-56.00,0.00,EUR,COMPLETED,336.28
CARD_PAYMENT,Current,2022-12-26 20:57:48,2022-12-28 09:53:48,Le Bourbonnou,-165.00,0.00,EUR,COMPLETED,171.28
CARD_PAYMENT,Current,2022-12-28 10:13:00,2022-12-29 11:20:26,Saccas Guillaume,-2.20,0.00,EUR,COMPLETED,169.08
CARD_PAYMENT,Current,2022-12-30 11:27:20,2022-12-31 10:31:33,Cgf15851class1,-8.50,0.00,EUR,COMPLETED,160.58
CARD_PAYMENT,Current,2022-12-30 21:42:56,2022-12-31 10:33:11,Brasserie Digue,-27.78,0.00,EUR,COMPLETED,132.80
CARD_PAYMENT,Current,2022-12-30 08:48:34,2022-12-31 10:37:27,Service Navigo,-1.90,0.00,EUR,COMPLETED,130.90
CARD_PAYMENT,Current,2022-12-30 08:48:58,2022-12-31 10:37:27,Service Navigo,-1.90,0.00,EUR,COMPLETED,129.00
CARD_PAYMENT,Current,2023-01-01 16:43:50,2023-01-02 09:09:22,Mezzo Di Past,-8.80,0.00,EUR,COMPLETED,120.20
CARD_PAYMENT,Current,2022-12-31 08:38:20,2023-01-02 10:27:03,e.leclerc,-41.45,0.00,EUR,COMPLETED,78.75
CARD_PAYMENT,Current,2023-01-08 19:38:36,2023-01-09 11:15:28,Mgp*kisskissbankban,-15.00,0.00,EUR,COMPLETED,63.75
TOPUP,Current,2023-01-20 20:05:37,2023-01-20 20:05:40,Google Pay Top-Up by *5577,100.00,0.00,EUR,COMPLETED,163.75
CARD_PAYMENT,Current,2023-01-21 05:42:10,2023-01-21 12:13:22,netflix.com,-13.49,0.00,EUR,COMPLETED,150.26
CARD_PAYMENT,Current,2023-01-20 20:06:19,2023-01-21 13:52:05,gamesplanet.com,-33.99,0.00,EUR,COMPLETED,116.27
CARD_PAYMENT,Current,2023-01-21 03:19:34,2023-01-22 01:30:12,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,106.28
CARD_PAYMENT,Current,2023-01-25 19:13:32,2023-01-26 13:07:31,gamesplanet.com,-17.99,0.00,EUR,COMPLETED,88.29
TOPUP,Current,2023-01-28 15:51:38,2023-01-28 15:51:45,Google Pay Top-Up by *5577,200.00,0.00,EUR,COMPLETED,288.29
CARD_PAYMENT,Current,2023-01-28 16:00:35,2023-01-29 11:04:46,Sncf Tgv.com,-163.80,0.00,EUR,COMPLETED,124.49
EXCHANGE,Current,2023-02-06 18:36:27,2023-02-06 18:36:27,Exchanged to EUR,1813.86,2.81,EUR,COMPLETED,1935.54
TRANSFER,Current,2023-02-06 18:44:02,2023-02-06 18:44:05,To Corentin Binance Banking Circle,-1801.00,0.00,EUR,COMPLETED,134.54
TOPUP,Current,2023-02-08 15:11:44,2023-02-08 15:11:44,Payment from Paysafe Payment Solutions Limited,1801.00,0.00,EUR,COMPLETED,1935.54
TRANSFER,Current,2023-02-10 08:27:17,2023-02-10 08:29:04,To Paysafe Payement Solution Ltd,-1801.00,0.00,EUR,COMPLETED,134.54
CARD_PAYMENT,Current,2023-02-09 17:22:19,2023-02-10 13:41:11,gamesplanet.com,-53.99,0.00,EUR,COMPLETED,80.55
TOPUP,Current,2023-02-13 10:38:54,2023-02-13 10:38:54,Payment from Paysafe Payment Solutions Limited,1801.00,0.00,EUR,COMPLETED,1881.55
CARD_PAYMENT,Current,2023-02-18 13:48:55,2023-02-19 02:28:21,Spotify P2130a2b80,-17.19,0.26,EUR,COMPLETED,1864.10
CARD_PAYMENT,Current,2023-02-18 12:23:11,2023-02-19 09:39:14,Airbnb * Hmhdyz5cnx,-119.74,0.00,EUR,COMPLETED,1744.36
CARD_PAYMENT,Current,2023-02-21 05:27:44,2023-02-21 11:50:47,netflix.com,-13.49,0.00,EUR,COMPLETED,1730.87
CARD_PAYMENT,Current,2023-02-21 04:35:40,2023-02-22 02:39:15,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,1720.88
CARD_PAYMENT,Current,2023-02-21 20:36:13,2023-02-22 16:15:50,Trenitalia - Lefrecce,-132.90,0.00,EUR,COMPLETED,1587.98
CARD_PAYMENT,Current,2023-02-21 20:44:33,2023-02-22 16:15:50,Trenitalia - Pt Wl,-54.90,0.00,EUR,COMPLETED,1533.08
CARD_PAYMENT,Current,2023-02-22 22:03:47,2023-02-23 10:33:12,Airbnb * Hm9qwsrmf9,-135.99,0.00,EUR,COMPLETED,1397.09
CARD_PAYMENT,Current,2023-02-22 22:06:55,2023-02-23 15:25:32,Trenitalia - Pt Wl,-10.90,0.00,EUR,COMPLETED,1386.19
CARD_PAYMENT,Current,2023-02-23 09:10:00,2023-02-24 09:29:27,Airbnb * Hm5qxhjet4,-82.50,0.00,EUR,COMPLETED,1303.69
CARD_PAYMENT,Current,2023-03-02 21:45:08,2023-03-03 10:44:44,Airbnb * Hmm29ja5kx,-169.99,0.00,EUR,COMPLETED,1133.70
CARD_REFUND,Current,2023-03-04 00:00:00,2023-03-04 09:19:45,Refund from Airbnb * Hmm29ja5kx,169.99,0.00,EUR,COMPLETED,1303.69
CARD_PAYMENT,Current,2023-03-03 21:33:15,2023-03-04 10:27:17,Airbnb * Hmypkwnaf5,-399.37,0.00,EUR,COMPLETED,904.32
CARD_PAYMENT,Current,2023-03-03 15:48:41,2023-03-04 16:27:50,Trenitalia - Pt Wl,-44.90,0.00,EUR,COMPLETED,859.42
TRANSFER,Current,2023-03-09 20:48:48,2023-03-09 20:48:50,To Corentin BNP Bourdeix,-400.00,0.00,EUR,COMPLETED,459.42
EXCHANGE,Current,2023-03-10 07:11:37,2023-03-10 07:11:37,Exchanged to EUR,659.34,0.00,EUR,COMPLETED,1118.76
